Date,DoW,end_date,Start,End,Instructor,Topic,Link
11/2,Tuesday,1,15:40,17:20,Koren,Course introduction. Why work reproducibly?,
11/9,Tuesday,,15:40,17:20,Koren,Pre-workshop survey,https://carpentries.typeform.com/to/wi32rS?slug=2021-11-02-ECBS-6233
,,,,,,Introduction to the command line,https://datacarpentry.org/shell-economics/01-introduction/index.html
,,,,,,Navigating files and directories,https://datacarpentry.org/shell-economics/02-the-filesystem/index.html
,,,,,,Why git?,https://gcapes.github.io/git-course/01-introduction/index.html
,,,,,,Tracking Changes,https://gcapes.github.io/git-course/02-local/index.html
,,,,,,Looking at History,https://gcapes.github.io/git-course/03-history/index.html
,,,,,,Commit Advice,https://gcapes.github.io/git-course/04-commit-advice/index.html
,,,,,,Pushing and Pulling to and from GitHub,https://gcapes.github.io/git-course/08-remote/index.html
,,,,,,Sharing One Repository,https://dlstrong.github.io/git-novice/10-collab/index.html
,,,,,,Branching,https://gcapes.github.io/git-course/05-branching/index.html
,,1,,,,Pull Requests,https://dlstrong.github.io/git-novice/08-pull-request/index.html
11/16,Tuesday,,15:40,17:20,Koren,Read and Explore Data in Stata (+Setup),https://datacarpentry.org/stata-economics/01-explore-data/index.html
,,,,,,Data Formats and Data Quality,https://datacarpentry.org/stata-economics/02-data-quality/index.html
,,,,,,Transform Data,https://datacarpentry.org/stata-economics/03-transform-data/index.html
,,,,,,Combine Data,https://datacarpentry.org/stata-economics/04-combine-data/index.html
,,,,,,Save and Reuse your Work in .do Files,https://datacarpentry.org/stata-economics/05-programming/index.html
,,,,,,Repeat Tasks with Loops,https://datacarpentry.org/stata-economics/06-loops/index.html
,,1,,,,Saving your .do files with Git,I will add a lesson on this.
11/23,Tuesday,1,15:40,17:20,Koren,,
11/30,Tuesday,1,15:40,17:20,Koren,,
12/07/21,Tuesday,,15:40,17:20,Koren,,
,,1,,,,Post-workshop survey,https://carpentries.typeform.com/to/UgVdRQ?slug=2021-11-02-ECBS-6233
